name,description
BMA,Bangkok Metropolitan Administration; the final destination for waste disposal and provider of yellow compression bins.
Waste at sorting facility,The collective refuse gathered at the central plant before final disposal.
Units and offices,Departmental or administrative divisions within the university that generate waste.
Finance Division,The department responsible for processing payments and revenue allocation to units.
Revenue from unit waste,The financial income generated from waste (split 80/20 between units and the university).
N15,A private entity that receives cleaned and separated fuel waste (RDF).
Separating and cleaning waste,The preparatory process required to convert general waste into fuel waste.
Infectious waste bins,Specialized containers for COVID-19 related materials like ATK kits and masks.
E-waste,Electronic waste donated by students or staff in exchange for activity hours.
Mirror Foundation,An organization that receives reusable electronic parts to repair computers for rural schools.
Tree debris,Organic waste processed into fertilizer.
Housekeepers,The primary staff responsible for collecting, weighing, and moving waste to holding areas.
Students,The largest group of waste generators; often cited as a factor in management difficulties and overflow.
Garden team,The staff responsible for collecting external waste around the university using trucks.
Waste sorting plant,The central facility where collected waste is transported for final sorting.
Unsuccessful sorting process,A result of having too few staff (3-4 people) relative to the volume of waste.
Trash overflow,A frequent problem at collection points caused by timing discrepancies or high volume.
Working committee,The supervisory group that issues warnings and manages waste policy.
Gray bins,Containers specifically designated for construction waste like iron and cement.
Construction waste,Includes materials like plywood, iron, and cement from events or renovations.
Building PM,The project manager or building supervisor who initiates waste pickup requests.
Mr. Moss,The coordinator responsible for scheduling waste collection rounds.
Waste holding cage,The physical structure (often described as too small or lacking a roof) where waste is stored.
Red Building area,A high-traffic location prone to waste overflow due to proximity to markets and schools.
Waste quantity,The volume of refuse which can be significantly reduced by using reusable equipment.
Personnel behavior,The human factor (like guessing weights or ignoring signs) that leads to data inaccuracy.
Waste weight data,The recorded information in notebooks which suffers from extreme inaccuracy due to human error.
Equipment damage,The physical breaking of bins caused by rough handling by collectors.
